"x","y","gr1","gr2","gr3"
0,0,0.870902324297539,0.0943779633034787,0.0347197123989827
10,0,0.86939208110227,0.0963313884413339,0.034276530456396
20,0,0.867842186204669,0.0983204563992077,0.033837357396123
30,0,0.866252208955856,0.100345631831893,0.0334021592122507
40,0,0.864621719731718,0.102407377890085,0.0329709023781974
50,0,0.86295029030597,0.104506155844981,0.0325435538490486
60,0,0.861237494236774,0.106642424699465,0.0321200810637616
70,0,0.85948290726696,0.108816640785808,0.0317004519472317
80,0,0.857686107737925,0.111029257349863,0.031284634912212
90,0,0.855846677017214,0.113280724121706,0.03087259886108
100,0,0.853964199939779,0.115571486872777,0.0304643131874434
110,0,0.852038265262908,0.117901986959516,0.0300597477775758
120,0,0.850068466134729,0.120272660853596,0.0296588730116753
130,0,0.848054400576227,0.122683939658837,0.0292616597649363
140,0,0.845995671976638,0.125136248614935,0.0288680794084275
150,0,0.843891889602062,0.127630006588174,0.0284781038097645
160,0,0.841742669117103,0.130165625549326,0.0280917053335705
170,0,0.839547633119312,0.132743510038973,0.0277088568417145
180,0,0.837306411686149,0.135364056620534,0.0273295316933171
190,0,0.835018642934168,0.138027653321316,0.0269537037445155
200,0,0.832683973590068,0.140734679061955,0.0265813473479775
210,0,0.83030205957321,0.143485503074636,0.026212437352154
220,0,0.827872566589173,0.146280484310565,0.0258469491002619
230,0,0.825395170733845,0.149119970837169,0.0254848584289857
240,0,0.822869559107534,0.152004299225577,0.0251261416668893
250,0,0.820295430438503,0.15493379392897,0.0247707756325273
260,0,0.81767249571531,0.157908766652443,0.024418737632247
270,0,0.815000478827256,0.160929515715073,0.0240700054576708
280,0,0.812279117212229,0.163996325404922,0.0237245573828491
290,0,0.809508162511135,0.167109465327789,0.0233823721610763
300,0,0.8066873812281,0.170269189750542,0.0230434290213582
310,0,0.80381655539554,0.173475736939936,0.0227077076645242
320,0,0.80089548324316,0.176729328497865,0.0223751882589749
330,0,0.797923979869885,0.180030168694059,0.0220458514360562
340,0,0.794901877917672,0.183378443797274,0.0217196782850541
350,0,0.791829028246106,0.186774321406093,0.0213966503478007
360,0,0.788705300606621,0.190217949780493,0.0210767496128865
370,0,0.78553058431514,0.19370945717539,0.0207599585094708
380,0,0.78230478892189,0.197248951177422,0.0204462599006871
390,0,0.779027844877076,0.200836518046289,0.0201356370766349
400,0,0.775699704191062,0.20447222206198,0.0198280737469578
410,0,0.772320341087683,0.208156104879317,0.0195235540329999
420,0,0.768889752649222,0.211888184891236,0.0192220624595416
430,0,0.765407959451592,0.215668456602298,0.0189235839461099
